start_time               end_time                 pkg_power_w  dram_power_w
1786091491.324962854     1786091492.350653648     8.95080959   2.52425489  
1786091492.350653648     1786091493.374358892     8.52923539   2.24141667  
1786091493.374358892     1786091494.398971796     8.78807105   2.39383282  
1786091494.398971796     1786091495.423540115     8.28013110   1.97634161  
1786091495.423540115     1786091496.448325634     8.24401091   1.92446416  
1786091496.448325634     1786091497.472400904     8.45534821   2.16282832  

=========GLOBAL STATS=========
pkg_min          pkg_max          pkg_avg          pkg_std         
8.24401091       8.95080959       8.54126771       0.28025607       
dram_min         dram_max         dram_avg         dram_std        
1.92446416       2.52425489       2.20385641       0.23309368      
